"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 29 13:55:07 GMT 2024","Fri Nov 29 13:55:16 GMT 2024","9185","Command line suite","Command line test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreateBuildTypeConfigurationTest","User should be able to create build type configuration",""
"passed","Fri Nov 29 13:53:07 GMT 2024","Fri Nov 29 13:54:00 GMT 2024","53041","com.example.teamcity.ui.SetupServerTest","Command line test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Nov 29 13:54:10 GMT 2024","Fri Nov 29 13:55:06 GMT 2024","56722","Command line suite","Command line test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildTypeConfigurationWithSameNameTest","User should not be able to create build type configuration with same name",""
